8,4,6,1,Capetown
8,4,2,1,Capetown
5,3,3,2,Capetown
6,4,5,2,Capetown
8,6,6,3,Capetown
10,7,6,2,Capetown
12,7,6,1,Capetown
8,6,5,1,Capetown
9,9,8,4,Capetown
8,5,4,2,Capetown
5,6,7,0,Capetown
8,4,5,2,Capetown
12,8,8,3,Capetown
11,6,6,4,Capetown
9,7,4,2,Capetown
6,4,7,4,Capetown
7,5,2,2,Durban
6,7,4,0,Durban
5,8,6,1,Durban
8,6,4,1,Durban
9,6,6,1,Durban
7,7,4,0,Durban
6,5,3,2,Durban
5,6,8,1,johannesburg
6,6,9,5,johannesburg
9,4,10,3,johannesburg
7,3,11,2,johannesburg
8,4,8,3,johannesburg
7,6,6,4,johannesburg
9,4,7,2,johannesburg
12,5,9,2,johannesburg
8,4,8,1,johannesburg
9,4,5,1,johannesburg
7,7,9,1,johannesburg
8,5,8,0,johannesburg
6,6,10,1,johannesburg
8,3,12,1,johannesburg
5,5,7,0,johannesburg
8,6,8,2,johannesburg
9,4,6,3,johannesburg
11,6,9,5,johannesburg
9,7,7,2,johannesburg
10,8,8,3,johannesburg
9,6,13,3,johannesburg
7,4,11,1,johannesburg
9,5,7,1,johannesburg
8,4,9,1,johannesburg
9,3,6,2,johannesburg
7,5,7,2,johannesburg
11,5,9,4,johannesburg
